ID,Score,Media,Dimension,Question,Direction,Rendering
2,-1,P,Office2,Access,360,Real
2,1,P,Office2,Clarity,360,Real
2,2,P,Office2,Privacy,360,Real
2,1,P,Office2,Overall,360,Real
2,2,P,Library1,Content,360,Real
2,3,P,Library1,Access,360,Real
2,3,P,Library1,Clarity,360,Real
2,0,P,Library1,Privacy,360,Real
2,2,P,Library1,Overall,360,Real
2,2,P,Library2,Content,360,Real
2,1,P,Library2,Access,360,Real
2,2,P,Library2,Clarity,360,Real
2,3,P,Library2,Privacy,360,Real
2,2,P,Library2,Overall,360,Real
2,-1,V,Office1,Content,360,Real
2,-1,V,Office1,Access,360,Real
2,1,V,Office1,Clarity,360,Real
2,2,V,Office1,Privacy,360,Real
2,0,V,Office1,Overall,360,Real
2,0,V,Office2,Content,360,Real
2,-1,V,Office2,Access,360,Real
2,1,V,Office2,Clarity,360,Real
2,2,V,Office2,Privacy,360,Real
2,0,V,Office2,Overall,360,Real
2,2,V,Library1,Content,360,Real
2,2,V,Library1,Access,360,Real
2,2,V,Library1,Clarity,360,Real
2,1,V,Library1,Privacy,360,Real
2,2,V,Library1,Overall,360,Real
2,2,V,Library2,Content,360,Real
2,2,V,Library2,Access,360,Real
2,2,V,Library2,Clarity,360,Real
2,-1,V,Library2,Privacy,360,Real
2,2,V,Library2,Overall,360,Real
2,2,I,Library1,Content,Main,Collage
2,3,I,Library1,Access,Main,Collage
2,2,I,Library1,Clarity,Main,Collage
2,0,I,Library1,Privacy,Main,Collage
2,1,I,Library1,Overall,Main,Collage
2,2,I,Library1,Content,Side1,Collage
2,-1,I,Library1,Access,Side1,Collage
2,-1,I,Library1,Clarity,Side1,Collage
2,-1,I,Library1,Privacy,Side1,Collage
2,-1,I,Library1,Overall,Side1,Collage
2,3,I,Library2,Content,Main,Collage
2,2,I,Library2,Access,Main,Collage
2,3,I,Library2,Clarity,Main,Collage
2,3,I,Library2,Privacy,Main,Collage
2,3,I,Library2,Overall,Main,Collage
2,1,I,Library2,Content,Side2,Collage
2,0,I,Library2,Access,Side2,Collage
2,3,I,Library2,Clarity,Side2,Collage
2,-1,I,Library2,Privacy,Side2,Collage
2,0,I,Library2,Overall,Side2,Collage
2,2,I,Library2,Content,Side1,Collage
2,3,I,Library2,Access,Side1,Collage
2,2,I,Library2,Clarity,Side1,Collage
2,1,I,Library2,Privacy,Side1,Collage
2,2,I,Library2,Overall,Side1,Collage
2,2,I,Office1,Content,Main,Collage
2,1,I,Office1,Access,Main,Collage
2,1,I,Office1,Clarity,Main,Collage
2,2,I,Office1,Privacy,Main,Collage
2,2,I,Office1,Overall,Main,Collage
2,0,I,Office2,Content,Main,Collage
2,-1,I,Office2,Access,Main,Collage
2,1,I,Office2,Clarity,Main,Collage
2,2,I,Office2,Privacy,Main,Collage
2,1,I,Office2,Overall,Main,Collage
3,1,P,Office1,Content,360,Real
3,-2,P,Office1,Access,360,Real
3,2,P,Office1,Clarity,360,Real
3,2,P,Office1,Privacy,360,Real
3,1,P,Office1,Overall,360,Real
3,3,P,Office2,Content,360,Real
3,1,P,Office2,Access,360,Real
3,3,P,Office2,Clarity,360,Real
3,3,P,Office2,Privacy,360,Real
3,2,P,Office2,Overall,360,Real
3,2,P,Library1,Content,360,Real
3,1,P,Library1,Access,360,Real
3,2,P,Library1,Clarity,360,Real
3,1,P,Library1,Privacy,360,Real
3,2,P,Library1,Overall,360,Real
3,2,P,Library2,Content,360,Real
3,1,P,Library2,Access,360,Real
3,1,P,Library2,Clarity,360,Real
3,3,P,Library2,Privacy,360,Real
3,1,P,Library2,Overall,360,Real
3,1,V,Office1,Content,360,Real
3,2,V,Office1,Access,360,Real
3,0,V,Office1,Clarity,360,Real
3,2,V,Office1,Privacy,360,Real
3,3,V,Office1,Overall,360,Real
3,2,V,Office2,Content,360,Real
3,0,V,Office2,Access,360,Real
3,-1,V,Office2,Clarity,360,Real
3,3,V,Office2,Privacy,360,Real
3,2,V,Office2,Overall,360,Real
3,3,V,Library1,Content,360,Real
3,2,V,Library1,Access,360,Real
3,3,V,Library1,Clarity,360,Real
3,1,V,Library1,Privacy,360,Real
3,2,V,Library1,Overall,360,Real
3,3,V,Library2,Content,360,Real
3,2,V,Library2,Access,360,Real
3,3,V,Library2,Clarity,360,Real
3,3,V,Library2,Privacy,360,Real
3,3,V,Library2,Overall,360,Real
3,2,I,Library1,Content,Main,Collage
3,1,I,Library1,Access,Main,Collage
3,2,I,Library1,Clarity,Main,Collage
3,1,I,Library1,Privacy,Main,Collage
3,1,I,Library1,Overall,Main,Collage
3,2,I,Library1,Content,Side1,Collage
3,3,I,Library1,Access,Side1,Collage
3,2,I,Library1,Clarity,Side1,Collage
3,2,I,Library1,Privacy,Side1,Collage
3,1,I,Library1,Overall,Side1,Collage
3,3,I,Library2,Content,Main,Collage
3,3,I,Library2,Access,Main,Collage
3,3,I,Library2,Clarity,Main,Collage
3,2,I,Library2,Privacy,Main,Collage
3,3,I,Library2,Overall,Main,Collage
3,0,I,Library2,Content,Side2,Collage
3,0,I,Library2,Access,Side2,Collage
3,1,I,Library2,Clarity,Side2,Collage
3,-1,I,Library2,Privacy,Side2,Collage
3,1,I,Library2,Overall,Side2,Collage
3,1,I,Library2,Content,Side1,Collage
3,2,I,Library2,Access,Side1,Collage
3,1,I,Library2,Clarity,Side1,Collage
3,3,I,Library2,Privacy,Side1,Collage
3,2,I,Library2,Overall,Side1,Collage
3,1,I,Office1,Content,Main,Collage
3,2,I,Office1,Access,Main,Collage
3,1,I,Office1,Clarity,Main,Collage
3,2,I,Office1,Privacy,Main,Collage
3,1,I,Office1,Overall,Main,Collage
3,2,I,Office2,Content,Main,Collage
3,1,I,Office2,Access,Main,Collage
3,3,I,Office2,Clarity,Main,Collage
3,1,I,Office2,Privacy,Main,Collage
3,2,I,Office2,Overall,Main,Collage
4,3,P,Office1,Content,360,Real
4,2,P,Office1,Access,360,Real
4,1,P,Office1,Clarity,360,Real
4,2,P,Office1,Privacy,360,Real
4,3,P,Office1,Overall,360,Real
4,2,P,Office2,Content,360,Real
4,1,P,Office2,Access,360,Real
4,3,P,Office2,Clarity,360,Real
4,2,P,Office2,Privacy,360,Real
4,3,P,Office2,Overall,360,Real
4,3,P,Library1,Content,360,Real
4,3,P,Library1,Access,360,Real
4,3,P,Library1,Clarity,360,Real
4,3,P,Library1,Privacy,360,Real
4,3,P,Library1,Overall,360,Real
4,2,P,Library2,Content,360,Real
4,1,P,Library2,Access,360,Real
4,3,P,Library2,Clarity,360,Real
4,1,P,Library2,Privacy,360,Real
4,2,P,Library2,Overall,360,Real
4,3,I,Library1,Content,Main,Real
4,3,I,Library1,Access,Main,Real
4,3,I,Library1,Clarity,Main,Real
4,3,I,Library1,Privacy,Main,Real
4,3,I,Library1,Overall,Main,Real
4,2,I,Library1,Content,Side1,Real
4,2,I,Library1,Access,Side1,Real
4,2,I,Library1,Clarity,Side1,Real
4,2,I,Library1,Privacy,Side1,Real
4,2,I,Library1,Overall,Side1,Real
4,2,I,Library2,Content,Main,Real
4,2,I,Library2,Access,Main,Real
4,2,I,Library2,Clarity,Main,Real
4,2,I,Library2,Privacy,Main,Real
4,2,I,Library2,Overall,Main,Real
4,2,I,Library2,Content,Side2,Real
4,2,I,Library2,Access,Side2,Real
4,2,I,Library2,Clarity,Side2,Real
4,2,I,Library2,Privacy,Side2,Real
4,2,I,Library2,Overall,Side2,Real
4,2,I,Library2,Content,Side1,Real
4,2,I,Library2,Access,Side1,Real
4,2,I,Library2,Clarity,Side1,Real
4,2,I,Library2,Privacy,Side1,Real
4,2,I,Library2,Overall,Side1,Real
4,0,I,Office1,Content,Main,Real
4,0,I,Office1,Access,Main,Real
4,0,I,Office1,Clarity,Main,Real
4,0,I,Office1,Privacy,Main,Real
4,0,I,Office1,Overall,Main,Real
4,2,I,Office2,Content,Main,Real
4,2,I,Office2,Access,Main,Real
4,2,I,Office2,Clarity,Main,Real
4,2,I,Office2,Privacy,Main,Real
4,2,I,Office2,Overall,Main,Real
5,3,P,Office1,Content,360,Real
5,2,P,Office1,Access,360,Real
5,3,P,Office1,Clarity,360,Real
5,3,P,Office1,Privacy,360,Real
5,3,P,Office1,Overall,360,Real
5,3,P,Office2,Content,360,Real
5,-1,P,Office2,Access,360,Real
5,3,P,Office2,Clarity,360,Real
5,3,P,Office2,Privacy,360,Real
5,2,P,Office2,Overall,360,Real
5,3,P,Library1,Content,360,Real
5,3,P,Library1,Access,360,Real
5,3,P,Library1,Clarity,360,Real
5,3,P,Library1,Privacy,360,Real
5,3,P,Library1,Overall,360,Real
5,3,P,Library2,Content,360,Real
5,3,P,Library2,Access,360,Real
5,3,P,Library2,Clarity,360,Real
5,3,P,Library2,Privacy,360,Real
5,3,P,Library2,Overall,360,Real
5,3,V,Office1,Content,360,Real
5,3,V,Office1,Access,360,Real
5,3,V,Office1,Clarity,360,Real
5,3,V,Office1,Privacy,360,Real
5,3,V,Office1,Overall,360,Real
5,3,V,Office2,Content,360,Real
5,3,V,Office2,Access,360,Real
5,3,V,Office2,Clarity,360,Real
5,0,V,Office2,Privacy,360,Real
5,0,V,Office2,Overall,360,Real
5,3,V,Library1,Content,360,Real
5,3,V,Library1,Access,360,Real
5,3,V,Library1,Clarity,360,Real
5,3,V,Library1,Privacy,360,Real
5,3,V,Library1,Overall,360,Real
5,3,V,Library2,Content,360,Real
5,1,V,Library2,Access,360,Real
5,3,V,Library2,Clarity,360,Real
5,3,V,Library2,Privacy,360,Real
5,3,V,Library2,Overall,360,Real
5,0,I,Library1,Content,Main,Collage
5,0,I,Library1,Access,Main,Collage
5,1,I,Library1,Clarity,Main,Collage
5,-1,I,Library1,Privacy,Main,Collage
5,0,I,Library1,Overall,Main,Collage
5,-2,I,Library1,Content,Side1,Collage
5,2,I,Library1,Access,Side1,Collage
5,2,I,Library1,Clarity,Side1,Collage
5,-2,I,Library1,Privacy,Side1,Collage
5,-2,I,Library1,Overall,Side1,Collage
5,2,I,Library2,Content,Main,Collage
5,2,I,Library2,Access,Main,Collage
5,2,I,Library2,Clarity,Main,Collage
5,3,I,Library2,Privacy,Main,Collage
5,2,I,Library2,Overall,Main,Collage
5,-2,I,Library2,Content,Side2,Collage
5,-2,I,Library2,Access,Side2,Collage
5,-2,I,Library2,Clarity,Side2,Collage
5,2,I,Library2,Privacy,Side2,Collage
5,-2,I,Library2,Overall,Side2,Collage
5,1,I,Library2,Content,Side1,Collage
5,3,I,Library2,Access,Side1,Collage
5,3,I,Library2,Clarity,Side1,Collage
5,3,I,Library2,Privacy,Side1,Collage
5,3,I,Library2,Overall,Side1,Collage
5,1,I,Office1,Content,Main,Collage
5,1,I,Office1,Access,Main,Collage
5,2,I,Office1,Clarity,Main,Collage
5,2,I,Office1,Privacy,Main,Collage
5,2,I,Office1,Overall,Main,Collage
5,-2,I,Office2,Content,Main,Collage
5,-2,I,Office2,Access,Main,Collage
5,1,I,Office2,Clarity,Main,Collage
5,2,I,Office2,Privacy,Main,Collage
5,-1,I,Office2,Overall,Main,Collage
6,2,P,Office1,Content,360,Real
6,3,P,Office1,Access,360,Real
6,2,P,Office1,Clarity,360,Real
6,3,P,Office1,Privacy,360,Real
6,2,P,Office1,Overall,360,Real
6,2,P,Office2,Content,360,Real
6,2,P,Office2,Access,360,Real
6,2,P,Office2,Clarity,360,Real
6,3,P,Office2,Privacy,360,Real
6,2,P,Office2,Overall,360,Real
6,3,P,Library1,Content,360,Real
6,3,P,Library1,Access,360,Real
6,3,P,Library1,Clarity,360,Real
6,3,P,Library1,Privacy,360,Real
6,3,P,Library1,Overall,360,Real
6,3,P,Library2,Content,360,Real
6,3,P,Library2,Access,360,Real
6,3,P,Library2,Clarity,360,Real
6,3,P,Library2,Privacy,360,Real
6,3,P,Library2,Overall,360,Real
6,2,V,Office1,Content,360,Real
6,2,V,Office1,Access,360,Real
6,3,V,Office1,Clarity,360,Real
6,3,V,Office1,Privacy,360,Real
6,2,V,Office1,Overall,360,Real
6,2,V,Office2,Content,360,Real
6,2,V,Office2,Access,360,Real
6,2,V,Office2,Clarity,360,Real
6,3,V,Office2,Privacy,360,Real
6,2,V,Office2,Overall,360,Real
6,3,V,Library1,Content,360,Real
6,3,V,Library1,Access,360,Real
6,3,V,Library1,Clarity,360,Real
6,3,V,Library1,Privacy,360,Real
6,3,V,Library1,Overall,360,Real
6,3,V,Library2,Content,360,Real
6,3,V,Library2,Access,360,Real
6,3,V,Library2,Clarity,360,Real
6,3,V,Library2,Privacy,360,Real
6,3,V,Library2,Overall,360,Real
6,2,I,Library1,Content,Main,Collage
6,3,I,Library1,Access,Main,Collage
6,3,I,Library1,Clarity,Main,Collage
6,3,I,Library1,Privacy,Main,Collage
6,2,I,Library1,Overall,Main,Collage
6,3,I,Library1,Content,Side1,Collage
6,3,I,Library1,Access,Side1,Collage
6,3,I,Library1,Clarity,Side1,Collage
6,2,I,Library1,Privacy,Side1,Collage
6,3,I,Library1,Overall,Side1,Collage
6,2,I,Library2,Content,Main,Collage
6,3,I,Library2,Access,Main,Collage
6,3,I,Library2,Clarity,Main,Collage
6,3,I,Library2,Privacy,Main,Collage
6,3,I,Library2,Overall,Main,Collage
6,3,I,Library2,Content,Side2,Collage
6,3,I,Library2,Access,Side2,Collage
6,2,I,Library2,Clarity,Side2,Collage
6,3,I,Library2,Privacy,Side2,Collage
6,3,I,Library2,Overall,Side2,Collage
6,2,I,Library2,Content,Side1,Collage
6,3,I,Library2,Access,Side1,Collage
6,3,I,Library2,Clarity,Side1,Collage
6,3,I,Library2,Privacy,Side1,Collage
6,3,I,Library2,Overall,Side1,Collage
6,2,I,Office1,Content,Main,Collage
6,2,I,Office1,Access,Main,Collage
6,2,I,Office1,Clarity,Main,Collage
6,3,I,Office1,Privacy,Main,Collage
6,2,I,Office1,Overall,Main,Collage
6,2,I,Office2,Content,Main,Collage
6,1,I,Office2,Access,Main,Collage
6,1,I,Office2,Clarity,Main,Collage
6,3,I,Office2,Privacy,Main,Collage
6,1,I,Office2,Overall,Main,Collage
7,1,P,Office1,Content,360,Real
7,-1,P,Office1,Access,360,Real
7,-1,P,Office1,Clarity,360,Real
7,3,P,Office1,Privacy,360,Real
7,0,P,Office1,Overall,360,Real
7,1,P,Office2,Content,360,Real
7,-3,P,Office2,Access,360,Real
7,-2,P,Office2,Clarity,360,Real
7,3,P,Office2,Privacy,360,Real
7,-2,P,Office2,Overall,360,Real
7,2,P,Library1,Content,360,Real
7,3,P,Library1,Access,360,Real
7,3,P,Library1,Clarity,360,Real
7,1,P,Library1,Privacy,360,Real
7,2,P,Library1,Overall,360,Real
7,3,P,Library2,Content,360,Real
7,2,P,Library2,Access,360,Real
7,3,P,Library2,Clarity,360,Real
7,3,P,Library2,Privacy,360,Real
7,3,P,Library2,Overall,360,Real
7,1,V,Office1,Content,360,Real
7,-1,V,Office1,Access,360,Real
7,2,V,Office1,Clarity,360,Real
7,3,V,Office1,Privacy,360,Real
7,1,V,Office1,Overall,360,Real
7,-1,V,Office2,Content,360,Real
7,-2,V,Office2,Access,360,Real
7,1,V,Office2,Clarity,360,Real
7,3,V,Office2,Privacy,360,Real
7,-2,V,Office2,Overall,360,Real
7,3,V,Library1,Content,360,Real
7,3,V,Library1,Access,360,Real
7,3,V,Library1,Clarity,360,Real
7,2,V,Library1,Privacy,360,Real
7,2,V,Library1,Overall,360,Real
7,2,V,Library2,Content,360,Real
7,2,V,Library2,Access,360,Real
7,2,V,Library2,Clarity,360,Real
7,3,V,Library2,Privacy,360,Real
7,2,V,Library2,Overall,360,Real
7,2,I,Library1,Content,Main,Real
7,3,I,Library1,Access,Main,Real
7,3,I,Library1,Clarity,Main,Real
7,0,I,Library1,Privacy,Main,Real
7,2,I,Library1,Overall,Main,Real
7,-1,I,Library1,Content,Side1,Real
7,2,I,Library1,Access,Side1,Real
7,2,I,Library1,Clarity,Side1,Real
7,-2,I,Library1,Privacy,Side1,Real
7,0,I,Library1,Overall,Side1,Real
7,3,I,Library2,Content,Main,Real
7,3,I,Library2,Access,Main,Real
7,3,I,Library2,Clarity,Main,Real
7,3,I,Library2,Privacy,Main,Real
7,3,I,Library2,Overall,Main,Real
7,-1,I,Library2,Content,Side2,Real
7,-2,I,Library2,Access,Side2,Real
7,3,I,Library2,Clarity,Side2,Real
7,3,I,Library2,Privacy,Side2,Real
7,-1,I,Library2,Overall,Side2,Real
7,2,I,Library2,Content,Side1,Real
7,3,I,Library2,Access,Side1,Real
7,3,I,Library2,Clarity,Side1,Real
7,3,I,Library2,Privacy,Side1,Real
7,2,I,Library2,Overall,Side1,Real
7,-2,I,Office1,Content,Main,Real
7,-1,I,Office1,Access,Main,Real
7,1,I,Office1,Clarity,Main,Real
7,2,I,Office1,Privacy,Main,Real
7,-1,I,Office1,Overall,Main,Real
7,1,I,Office2,Content,Main,Real
7,-3,I,Office2,Access,Main,Real
7,-1,I,Office2,Clarity,Main,Real
7,3,I,Office2,Privacy,Main,Real
7,-1,I,Office2,Overall,Main,Real
8,1,P,Office1,Content,360,Real
8,1,P,Office1,Access,360,Real
8,-3,P,Office1,Clarity,360,Real
8,1,P,Office1,Privacy,360,Real
8,0,P,Office1,Overall,360,Real
8,1,P,Office2,Content,360,Real
8,0,P,Office2,Access,360,Real
8,-1,P,Office2,Clarity,360,Real
8,2,P,Office2,Privacy,360,Real
8,0,P,Office2,Overall,360,Real
8,2,P,Library1,Content,360,Real
8,3,P,Library1,Access,360,Real
8,3,P,Library1,Clarity,360,Real
8,2,P,Library1,Privacy,360,Real
8,3,P,Library1,Overall,360,Real
8,3,P,Library2,Content,360,Real
8,3,P,Library2,Access,360,Real
8,3,P,Library2,Clarity,360,Real
8,1,P,Library2,Privacy,360,Real
8,2,P,Library2,Overall,360,Real
8,1,V,Office1,Content,360,Real
8,1,V,Office1,Access,360,Real
8,-3,V,Office1,Clarity,360,Real
8,1,V,Office1,Privacy,360,Real
8,0,V,Office1,Overall,360,Real
8,1,V,Office2,Content,360,Real
8,0,V,Office2,Access,360,Real
8,-1,V,Office2,Clarity,360,Real
8,2,V,Office2,Privacy,360,Real
8,0,V,Office2,Overall,360,Real
8,2,V,Library1,Content,360,Real
8,3,V,Library1,Access,360,Real
8,3,V,Library1,Clarity,360,Real
8,2,V,Library1,Privacy,360,Real
8,3,V,Library1,Overall,360,Real
8,3,V,Library2,Content,360,Real
8,3,V,Library2,Access,360,Real
8,3,V,Library2,Clarity,360,Real
8,1,V,Library2,Privacy,360,Real
8,2,V,Library2,Overall,360,Real
8,3,I,Library1,Content,Main,Collage
8,2,I,Library1,Access,Main,Collage
8,3,I,Library1,Clarity,Main,Collage
8,0,I,Library1,Privacy,Main,Collage
8,2,I,Library1,Overall,Main,Collage
8,3,I,Library1,Content,Side1,Collage
8,2,I,Library1,Access,Side1,Collage
8,1,I,Library1,Clarity,Side1,Collage
8,1,I,Library1,Privacy,Side1,Collage
8,2,I,Library1,Overall,Side1,Collage
8,1,I,Library2,Content,Main,Collage
8,3,I,Library2,Access,Main,Collage
8,3,I,Library2,Clarity,Main,Collage
8,3,I,Library2,Privacy,Main,Collage
8,2,I,Library2,Overall,Main,Collage
8,-1,I,Library2,Content,Side2,Collage
8,-1,I,Library2,Access,Side2,Collage
8,0,I,Library2,Clarity,Side2,Collage
8,-1,I,Library2,Privacy,Side2,Collage
8,-2,I,Library2,Overall,Side2,Collage
8,1,I,Library2,Content,Side1,Collage
8,1,I,Library2,Access,Side1,Collage
8,0,I,Library2,Clarity,Side1,Collage
8,0,I,Library2,Privacy,Side1,Collage
8,1,I,Library2,Overall,Side1,Collage
8,1,I,Office1,Content,Main,Collage
8,2,I,Office1,Access,Main,Collage
8,-1,I,Office1,Clarity,Main,Collage
8,2,I,Office1,Privacy,Main,Collage
8,1,I,Office1,Overall,Main,Collage
8,1,I,Office2,Content,Main,Collage
8,1,I,Office2,Access,Main,Collage
8,-1,I,Office2,Clarity,Main,Collage
8,2,I,Office2,Privacy,Main,Collage
8,0,I,Office2,Overall,Main,Collage
9,1,P,Office1,Content,360,Real
9,0,P,Office1,Access,360,Real
9,0,P,Office1,Clarity,360,Real
9,2,P,Office1,Privacy,360,Real
9,1,P,Office1,Overall,360,Real
9,-2,P,Office2,Content,360,Real
9,-2,P,Office2,Access,360,Real
9,-2,P,Office2,Clarity,360,Real
9,1,P,Office2,Privacy,360,Real
9,-2,P,Office2,Overall,360,Real
9,1,P,Library1,Content,360,Real
9,-2,P,Library1,Access,360,Real
9,0,P,Library1,Clarity,360,Real
9,1,P,Library1,Privacy,360,Real
9,0,P,Library1,Overall,360,Real
9,1,P,Library2,Content,360,Real
9,1,P,Library2,Access,360,Real
9,-2,P,Library2,Clarity,360,Real
9,3,P,Library2,Privacy,360,Real
9,1,P,Library2,Overall,360,Real
9,0,V,Office1,Content,360,Real
9,0,V,Office1,Access,360,Real
9,-1,V,Office1,Clarity,360,Real
9,1,V,Office1,Privacy,360,Real
9,1,V,Office1,Overall,360,Real
9,0,V,Office2,Content,360,Real
9,1,V,Office2,Access,360,Real
9,-1,V,Office2,Clarity,360,Real
9,1,V,Office2,Privacy,360,Real
9,2,V,Office2,Overall,360,Real
9,2,V,Library1,Content,360,Real
9,1,V,Library1,Access,360,Real
9,1,V,Library1,Clarity,360,Real
9,2,V,Library1,Privacy,360,Real
9,2,V,Library1,Overall,360,Real
9,1,V,Library2,Content,360,Real
9,2,V,Library2,Access,360,Real
9,1,V,Library2,Clarity,360,Real
9,2,V,Library2,Privacy,360,Real
9,0,V,Library2,Overall,360,Real
9,3,I,Library1,Content,Main,Collage
9,3,I,Library1,Access,Main,Collage
9,3,I,Library1,Clarity,Main,Collage
9,2,I,Library1,Privacy,Main,Collage
9,3,I,Library1,Overall,Main,Collage
9,-1,I,Library1,Content,Side1,Collage
9,-2,I,Library1,Access,Side1,Collage
9,-2,I,Library1,Clarity,Side1,Collage
9,-2,I,Library1,Privacy,Side1,Collage
9,-2,I,Library1,Overall,Side1,Collage
9,1,I,Library2,Content,Main,Collage
9,-2,I,Library2,Access,Main,Collage
9,1,I,Library2,Clarity,Main,Collage
9,-2,I,Library2,Privacy,Main,Collage
9,1,I,Library2,Overall,Main,Collage
9,1,I,Library2,Content,Side2,Collage
9,1,I,Library2,Access,Side2,Collage
9,0,I,Library2,Clarity,Side2,Collage
9,-2,I,Library2,Privacy,Side2,Collage
9,-2,I,Library2,Overall,Side2,Collage
9,2,I,Library2,Content,Side1,Collage
9,1,I,Library2,Access,Side1,Collage
9,2,I,Library2,Clarity,Side1,Collage
9,-2,I,Library2,Privacy,Side1,Collage
9,1,I,Library2,Overall,Side1,Collage
9,1,I,Office1,Content,Main,Collage
9,-3,I,Office1,Access,Main,Collage
9,-2,I,Office1,Clarity,Main,Collage
9,2,I,Office1,Privacy,Main,Collage
9,-1,I,Office1,Overall,Main,Collage
9,2,I,Office2,Content,Main,Collage
9,-2,I,Office2,Access,Main,Collage
9,-2,I,Office2,Clarity,Main,Collage
9,2,I,Office2,Privacy,Main,Collage
9,1,I,Office2,Overall,Main,Collage
10,2,P,Office1,Content,360,Real
10,-1,P,Office1,Access,360,Real
10,0,P,Office1,Clarity,360,Real
10,3,P,Office1,Privacy,360,Real
10,2,P,Office1,Overall,360,Real
10,3,P,Office2,Content,360,Real
10,2,P,Office2,Access,360,Real
10,1,P,Office2,Clarity,360,Real
10,3,P,Office2,Privacy,360,Real
10,3,P,Office2,Overall,360,Real
10,3,P,Library1,Content,360,Real
10,3,P,Library1,Access,360,Real
10,2,P,Library1,Clarity,360,Real
10,2,P,Library1,Privacy,360,Real
10,3,P,Library1,Overall,360,Real
10,2,P,Library2,Content,360,Real
10,0,P,Library2,Access,360,Real
10,3,P,Library2,Clarity,360,Real
10,3,P,Library2,Privacy,360,Real
10,3,P,Library2,Overall,360,Real
10,2,V,Office1,Content,360,Real
10,0,V,Office1,Access,360,Real
10,2,V,Office1,Clarity,360,Real
10,3,V,Office1,Privacy,360,Real
10,2,V,Office1,Overall,360,Real
10,2,V,Office2,Content,360,Real
10,1,V,Office2,Access,360,Real
10,1,V,Office2,Clarity,360,Real
10,3,V,Office2,Privacy,360,Real
10,2,V,Office2,Overall,360,Real
10,3,V,Library1,Content,360,Real
10,3,V,Library1,Access,360,Real
10,2,V,Library1,Clarity,360,Real
10,2,V,Library1,Privacy,360,Real
10,3,V,Library1,Overall,360,Real
10,1,V,Library2,Content,360,Real
10,2,V,Library2,Access,360,Real
10,3,V,Library2,Clarity,360,Real
10,3,V,Library2,Privacy,360,Real
10,2,V,Library2,Overall,360,Real
10,3,I,Library1,Content,Main,Real
10,3,I,Library1,Access,Main,Real
10,3,I,Library1,Clarity,Main,Real
10,2,I,Library1,Privacy,Main,Real
10,3,I,Library1,Overall,Main,Real
10,3,I,Library1,Content,Side1,Real
10,3,I,Library1,Access,Side1,Real
10,3,I,Library1,Clarity,Side1,Real
10,2,I,Library1,Privacy,Side1,Real
10,3,I,Library1,Overall,Side1,Real
10,3,I,Library2,Content,Main,Real
10,3,I,Library2,Access,Main,Real
10,3,I,Library2,Clarity,Main,Real
10,3,I,Library2,Privacy,Main,Real
10,3,I,Library2,Overall,Main,Real
10,2,I,Library2,Content,Side2,Real
10,-1,I,Library2,Access,Side2,Real
10,1,I,Library2,Clarity,Side2,Real
